sample,temperature_raw,humidity_raw,pressure_raw,temperature_true,humidity_true,pressure_true,temperature_filtered,humidity_filtered,pressure_filtered,temperature_uncertainty,humidity_uncertainty,pressure_uncertainty
1,25.48,49.23,1013.42,25.0,50.0,1013.25,25.47991654856621,49.18792650897251,1013.42,1.0580515900402945,2.640041948445182,1.0914892254774575
2,24.67,51.87,1012.89,25.0,50.0,1013.25,25.559669464554243,49.812653530899,1013.5345253665307,0.750550079149234,1.9384954985696288,0.6502811647729608
3,25.89,48.45,1013.78,25.0,50.0,1013.25,25.329123931959668,49.63312228350306,1013.3369209813436,0.5176482915627265,1.5181185135902606,0.3836181186831793
4,24.32,52.34,1012.67,25.0,50.0,1013.25,25.569102260139047,49.47943514435011,1013.4454067324199,0.37092919390565265,1.2224460927969398,0.2609204638350288
5,25.71,49.78,1013.91,25.0,50.0,1013.25,25.463637104418904,49.46711368907689,1013.4099334115007,0.2895448954617403,1.018658558690462,0.21024720406504832
6,24.56,51.23,1012.45,25.0,50.0,1013.25,25.479035682669423,49.42509370353229,1013.3888884531265,0.2462456306607896,0.8849163813704147,0.18928882179821568
7,25.93,48.67,1013.56,25.0,50.0,1013.25,25.47321246472891,49.40607950541414,1013.410019322533,0.22293886307555316,0.8001940553247677,0.17991002227151395
8,24.78,52.89,1012.78,25.0,50.0,1013.25,25.44713655546905,49.467304610547515,1013.3762598436281,0.20982207581607115,0.7471319202533148,0.17520113146108748
9,25.34,49.12,1013.34,25.0,50.0,1013.25,25.451372940246646,49.41158237614729,1013.3934121004352,0.2019799717237025,0.7135426775547654,0.17254293569340667
10,24.89,51.56,1012.89,25.0,50.0,1013.25,25.425179349921514,49.47569099164489,1013.3669350280161,0.19698411344950428,0.6917166918142467,0.17088180882028436
11,25.67,48.34,1013.67,25.0,50.0,1013.25,25.462141754893516,49.36660344624276,1013.4129544188309,0.1936086365440667,0.6770338028361776,0.16975671742898693
12,24.45,52.12,1012.56,25.0,50.0,1013.25,25.38794825154839,49.50285265760124,1013.3433730912519,0.19120940490466354,0.6667770349143316,0.16894723617537233
13,25.78,49.89,1013.89,25.0,50.0,1013.25,25.452235523756425,49.46999389217705,1013.418369794564,0.1894313879700339,0.6593428451677307,0.16833862444240844
14,24.23,51.34,1012.34,25.0,50.0,1013.25,25.35258144129171,49.54500179664536,1013.3205914156562,0.18806896149183355,0.6537687000526546,0.16786628059877834
15,25.56,48.78,1013.45,25.0,50.0,1013.25,25.411128457459355,49.43100189640278,1013.3655141301125,0.1869971330119686,0.6494626676066881,0.16749117573295372
16,24.91,52.67,1012.91,25.0,50.0,1013.25,25.385329699777316,49.62530286338157,1013.3386804141579,0.18613637253257767,0.646050436248594,0.16718823138331884
17,25.34,49.23,1013.23,25.0,50.0,1013.25,25.407341674906903,49.52051754287428,1013.351702118602,0.18543389581844688,0.6432882616270872,0.16694046696853385
18,24.67,51.89,1012.67,25.0,50.0,1013.25,25.354353328815442,49.64663891589432,1013.3047914334954,0.1848533041257367,0.6410126701662665,0.16673587628983214
19,25.89,48.56,1013.78,25.0,50.0,1013.25,25.44015552743242,49.49174778999984,1013.3812619454117,0.18436862868584428,0.6391108119810065,0.16656566717625967
20,24.45,52.34,1012.45,25.0,50.0,1013.25,25.347046516737443,49.674418310302435,1013.2955436372661,0.183960781751769,0.637502593539026,0.16642321749494013
21,25.23,49.67,1013.56,25.2,50.0,1013.25,25.366742153856087,49.60175161838954,1013.3523111783655,0.18361536807327147,0.6361296604577766,0.16630342618313906
22,24.78,51.12,1012.89,25.4,50.0,1013.25,25.331408064695296,49.6684233577226,1013.3174870065202,0.18332129068456376,0.6349484475409208,0.1662022923106037
23,25.56,48.89,1013.34,25.6,50.0,1013.25,25.38763449894843,49.54541245403855,1013.3397920156468,0.1830698349558506,0.6339256953578873,0.16611663159237383
24,25.12,52.45,1012.67,25.8,50.0,1013.25,25.376136881711894,49.74367756502354,1013.285944846019,0.18285404920731796,0.6330354941331651,0.16604387914770302
25,25.89,49.34,1013.89,26.0,50.0,1013.25,25.44620190058234,49.63901872216005,1013.3721170433113,0.18266831446766488,0.632257292692558,0.16598194838738806
26,25.45,51.78,1012.45,26.2,50.0,1013.25,25.442276858556085,49.76511471778264,1013.2787003669368,0.18250803815483582,0.6315745292527388,0.16592912763550036
27,26.23,48.67,1013.67,26.4,50.0,1013.25,25.519030936070056,49.60789089667538,1013.3440294175995,0.182369431044692,0.6309736705816967,0.16588400285200403
28,25.78,52.12,1012.78,26.6,50.0,1013.25,25.518858023749786,49.780251807025316,1013.2919669855229,0.18224934157552886,0.630443524349051,0.16584539886082872
29,26.56,49.89,1013.23,26.8,50.0,1013.25,25.599393367239074,49.72308572896359,1013.3056680600663,0.18214513051277945,0.6299747375743732,0.16581233398163303
30,26.12,51.45,1012.56,27.0,50.0,1013.25,25.60183472601787,49.81423389353396,1013.246530943298,0.18205457461351576,0.6295594241201711,0.16578398455168716
31,26.89,48.34,1013.78,27.0,50.0,1013.25,25.68351450027578,49.628796226914844,1013.3309522565278,0.18197579152213056,0.6291908832415404,0.16575965686455787
32,26.45,52.67,1012.34,27.0,50.0,1013.25,25.688923167655634,49.85664894330769,1013.2354534029618,0.18190718047608584,0.6288633834916226,0.165738764750901
33,27.23,49.12,1013.45,27.0,50.0,1013.25,25.774240156359074,49.727868589705395,1013.2896303719411,0.1818473749669749,0.6285719943187209,0.16572081150634693
34,26.78,51.89,1012.91,27.0,50.0,1013.25,25.780604208192756,49.869394533986146,1013.26487962798,0.1817952045680799,0.6283124530240124,0.1657053752072803
35,27.56,48.78,1013.12,27.0,50.0,1013.25,25.86794427942193,49.71586982434442,1013.2702006461883,0.18174966387856875,0.6280810583385431,0.16569209669447676
36,26.34,52.34,1012.67,27.0,50.0,1013.25,25.794038269135672,49.90661993713682,1013.2275867582949,0.181709887055701,0.6278745843288321,0.16568066967748765
37,27.12,49.56,1013.56,27.0,50.0,1013.25,25.833723451717656,49.813404962832564,1013.2892867360129,0.18167512677998932,0.6276902100370563,0.16567083253941425
38,26.89,51.23,1012.45,27.0,50.0,1013.25,25.83685698863738,49.89041266102853,1013.2130782502971,0.1816447367699852,0.6275254614529037,0.16566236151576225
39,27.45,48.45,1013.89,27.0,50.0,1013.25,25.900566525426722,49.718022738391184,1013.3102516391883,0.18161815716368512,0.6273781632620072,0.1656550649916518
40,26.67,52.12,1012.78,27.0,50.0,1013.25,25.860856489552432,49.9053915253086,1013.253545511257,0.18159490223307578,0.6272463984275809,0.16564877871518233
41,27.23,49.89,1013.34,27.0,50.0,1013.25,25.89944494741358,49.85366151451602,1013.2759738089109,0.1815745500112209,0.6271284741090979,0.16564336176574668
42,26.78,51.67,1012.56,27.0,50.0,1013.25,25.87936584740329,49.96880207507856,1013.2107443330862,0.1815567334974033,0.6270228927530265,0.16563869314777563
43,27.56,48.23,1013.67,27.0,50.0,1013.25,25.953542897009886,49.766951193604875,1013.2820149087514,0.18154113317216938,0.6269283274388929,0.16563466890510406
44,26.45,52.45,1012.34,27.0,50.0,1013.25,25.885742568932535,49.9806745950316,1013.1896800580469,0.18152747060567787,0.6268436007522257,0.1656311996705815
45,27.34,49.34,1013.45,27.0,50.0,1013.25,25.943358307869953,49.873343053922056,1013.2461627210112,0.1815155029831681,0.6267676666003045,0.1656282085809517
46,26.91,51.78,1012.89,27.0,50.0,1013.25,25.938171373318415,50.004747763588355,1013.2207590427621,0.18150501840329203,0.6266995944984867,0.16562562949932655
47,27.67,48.67,1013.23,27.0,50.0,1013.25,26.020251450337295,49.84035814995988,1013.2386930416692,0.18149583183047105,0.626638555942369,0.165623405497474
48,26.56,52.23,1012.67,27.0,50.0,1013.25,25.95740325471466,50.025849651342824,1013.1923896672843,0.18148778160281806,0.6265838125500871,0.16562148755815198
49,27.12,49.78,1013.78,27.0,50.0,1013.25,25.98341688273771,49.95349313738085,1013.2740839713505,0.18148072641361335,0.6265347057140045,0.16561983346424836
50,26.89,51.45,1012.45,27.0,50.0,1013.25,25.98065936467014,50.045360568215585,1013.1875369595164,0.18147454269768726,0.6264906475451032,0.16561840684684095
51,27.45,48.89,1013.56,27.0,50.0,1013.25,26.043398703299218,49.89901178968035,1013.2474840418982,0.18146912236498566,0.6264511129289825,0.16561717636869963
52,26.34,52.67,1012.78,27.0,50.0,1013.25,25.969151971365335,50.1155453006005,1013.2027617550351,0.18146437083257502,0.6264156325413138,0.16561611502340767
53,27.23,49.12,1013.34,27.0,50.0,1013.25,26.023542680862402,49.972734775871935,1013.2318924968996,0.18146020531376894,0.6263837866942786,0.16561519953331866
54,26.78,51.34,1012.56,27.0,50.0,1013.25,26.014743251208653,50.06180486055987,1013.1704027714588,0.1814565533292268,0.6263551999050145,0.1656144098321044
55,27.56,48.56,1013.89,27.0,50.0,1013.25,26.09762598715436,49.8944603569917,1013.2655139130018,0.1814533514100281,0.6263295360932184,0.16561372861978027
56,26.67,52.89,1012.34,27.0,50.0,1013.25,26.059835564099554,50.14166763287376,1013.164946978936,0.18145054396704727,0.6263064943284842,0.16561314097988597
57,27.34,49.45,1013.45,27.0,50.0,1013.25,26.112748833059957,50.02871299106767,1013.2174023021544,0.18144808230459494,0.6262858050591735,0.16561263405001314
58,26.91,51.12,1012.91,27.0,50.0,1013.25,26.104965569795215,50.092680409525656,1013.1920792852832,0.18144592375937088,0.6262672267640398,0.16561219673815114
59,27.12,48.78,1013.12,27.0,50.0,1013.25,26.12710693016398,49.94498622332602,1013.197695131664,0.18144403094838762,0.6262505429757883,0.16561181947840944
60,26.45,52.34,1012.67,27.0,50.0,1013.25,26.075709885741347,50.14181783118286,1013.1556463866336,0.18144237111174993,0.6262355596324871,0.16561149402059805
61,27.67,49.67,1013.67,27.0,50.0,1013.25,26.180358711637197,50.05695771353487,1013.2291572879094,0.18144091553807687,0.6262221027184871,0.1656112132489335
62,26.56,51.89,1012.45,27.0,50.0,1013.25,26.13061128495751,50.18643787167985,1013.1490145124355,0.18143963906198257,0.6262100161614006,0.16561097102581104
63,27.23,48.34,1013.34,27.0,50.0,1013.25,26.176164782728172,49.98291765872,1013.1911135819176,0.18143851962443053,0.6261991599558906,0.16561076205715475
64,26.89,52.56,1012.78,27.0,50.0,1013.25,26.175036491231477,50.19564331759057,1013.1581701354522,0.181437537887982,0.6261894084886341,0.16561058177634966
65,27.45,49.23,1013.78,27.0,50.0,1013.25,26.238277382531557,50.06741539945265,1013.2367907696525,0.18143667689999488,0.6261806490419392,0.16561042624417946
66,26.34,51.67,1012.56,27.0,50.0,1013.25,26.16334431001273,50.185300674796494,1013.1596545417291,0.1814359217977319,0.6261727804561955,0.1656102920625538
67,27.78,48.89,1013.23,27.0,50.0,1013.25,26.277302658725294,50.036456488193984,1013.1821591577045,0.18143525955010897,0.6261657119336785,0.1656101763001181
68,26.67,52.12,1012.34,27.0,50.0,1013.25,26.23363311293925,50.20527139256123,1013.1064112296984,0.18143467873149283,0.6261593619682697,0.1656100764281044
69,27.12,49.56,1013.56,27.0,50.0,1013.25,26.259403499729554,50.11082545835659,1013.1829806871555,0.1814341693235387,0.626153657387434,0.1656099902650097
70,26.91,51.34,1012.89,27.0,50.0,1013.25,26.258580450511076,50.19601149323227,1013.1581074773035,0.1814337225415686,0.6261485324943552,0.1656099159288843
71,27.56,48.67,1013.45,27.0,50.0,1013.25,26.331981604575894,50.03422547004274,1013.1982862550732,0.18143333068243298,0.6261439282994917,0.1656098517961814
72,26.45,52.78,1012.67,27.0,50.0,1013.25,26.2639817420284,50.26716016606275,1013.1431548268633,0.18143298699118274,0.6261397918320233,0.16560979646626398
73,27.34,49.12,1013.12,27.0,50.0,1013.25,26.321727613800103,50.1248867804162,1013.1561169781702,0.18143268554421596,0.6261360755227062,0.1656097487307901
74,26.78,51.89,1012.45,27.0,50.0,1013.25,26.30284200688037,50.25958484336835,1013.0966380153436,0.18143242114685387,0.6261327366505971,0.16560970754730542
75,27.23,48.45,1013.78,27.0,50.0,1013.25,26.34285964402709,50.068204074615515,1013.1928860355722,0.18143218924355894,0.6261297368469187,0.16560967201646393
76,26.56,52.34,1012.78,27.0,50.0,1013.25,26.301813943711096,50.26198450765293,1013.1467140672457,0.18143198583922926,0.6261270416500802,0.1656096413623781
77,27.89,49.78,1013.34,27.0,50.0,1013.25,26.424026861303446,50.183188692035316,1013.175444370219,0.18143180743019827,0.6261246201064995,0.16560961491566809
78,26.34,51.56,1012.56,27.0,50.0,1013.25,26.33624363591396,50.280328450908186,1013.1140937314951,0.1814316509437412,0.6261224444124597,0.16560959209883888
79,27.45,48.23,1013.67,27.0,50.0,1013.25,26.405685247769142,50.07151400553734,1013.1881550787648,0.18143151368503607,0.6261204895927276,0.16560957241366603
80,26.91,52.67,1012.34,27.0,50.0,1013.25,26.39673857483399,50.298501578908116,1013.0978098619196,0.18143139329065924,0.6261187332121277,0.16560955543031303
81,27.12,49.34,1013.23,27.0,50.0,1013.25,26.416452782464898,50.1797718096109,1013.1345311865151,0.18143128768780928,0.6261171551166574,0.16560954077794332
82,26.67,51.12,1012.91,27.0,50.0,1013.25,26.38524166792106,50.24814089596488,1013.1222245937489,0.18143119505855196,0.6261157372010945,0.16560952813662133
83,27.78,48.78,1013.56,27.0,50.0,1013.25,26.48945736547431,50.101113614700715,1013.1780871459748,0.18143111380846744,0.626114463200365,0.1656095172303251
84,26.45,52.45,1012.67,27.0,50.0,1013.25,26.41535563702874,50.30735400599873,1013.1209126773564,0.181431042539157,0.6261133185022254,0.16560950782091866
85,27.34,49.67,1013.89,27.0,50.0,1013.25,26.46918367233891,50.21923117671137,1013.2082725145876,0.18143098002413402,0.6261122899790694,0.16560949970295144
86,26.89,51.78,1012.45,27.0,50.0,1013.25,26.458665070117114,50.33591040611522,1013.1148179813723,0.18143092518768114,0.6261113658368946,0.16560949269917188
87,27.56,48.56,1013.34,27.0,50.0,1013.25,26.527032368264795,50.1496909111532,1013.1502873830684,0.1814308770863097,0.6261105354796705,0.1656094866566569
88,26.23,52.23,1012.78,27.0,50.0,1013.25,26.43090064626105,50.329197187557575,1013.1142739224298,0.18143083489250006,0.626109789387531,0.16560948144347254
89,27.12,49.12,1013.12,27.0,50.0,1013.25,26.47086128476159,50.195227875932204,1013.1271672429261,0.18143079788044222,0.6261091190073742,0.1656094769457931
90,26.78,51.45,1012.56,27.0,50.0,1013.25,26.463646857672735,50.298196000471144,1013.0787088270425,0.18143076541353034,0.6261085166546052,0.16560947306541557
91,27.45,48.89,1013.67,27.0,50.0,1013.25,26.53404866777905,50.15691907355935,1013.1598202669406,0.18143073693339584,0.6261079754248784,0.16560946971761556
92,26.56,52.56,1012.34,27.0,50.0,1013.25,26.486414022322343,50.36653538671017,1013.0733956855113,0.18143071195028884,0.6261074891148225,0.1656094668292971
93,27.23,49.45,1013.45,27.0,50.0,1013.25,26.53167789335043,50.253332516995926,1013.1338817837594,0.18143069003464296,0.6261070521508301,0.1656094643373966
94,26.91,51.23,1012.91,27.0,50.0,1013.25,26.529212075440544,50.32493342609956,1013.1133068150134,0.18143067080967698,0.6261066595250893,0.1656094621875061
95,27.67,48.34,1013.23,27.0,50.0,1013.25,26.61182059771297,50.134462023126055,1013.1326874370932,0.18143065394490684,0.6261063067381195,0.16560946033268506
96,26.34,52.89,1012.67,27.0,50.0,1013.25,26.524269252968363,50.38361603009057,1013.0879030174552,0.18143063915045474,0.6261059897471497,0.16560945873243552
97,27.12,49.78,1013.78,27.0,50.0,1013.25,26.55691335668353,50.29752014521552,1013.1712277252149,0.18143062617205846,0.6261057049197415,0.1656094573518178
98,26.89,51.67,1012.45,27.0,50.0,1013.25,26.55632420268366,50.39690598949715,1013.0862754189388,0.181430614786694,0.6261054489921273,0.16560945616068778
99,27.56,48.12,1013.56,27.0,50.0,1013.25,26.629659181968123,50.17100715707303,1013.1478743491248,0.18143060479873654,0.6261052190317795,0.1656094551330385
100,26.67,52.34,1012.78,27.0,50.0,1013.25,26.583708897719138,50.367867681942066,1013.1047774777535,0.18143059603659306,0.626105012403784,0.16560945424643245
